Te,ne,728/706,728/668
3.767298178979602e-01, 6.699308783156532e+19, 5.022844953596540e-02, 1.595177358571720e-01
3.767298178979602e-01, 7.516748085768934e+19, 5.126592897247439e-02, 1.519204673349702e-01
3.767298178979602e-01, 8.433930068571646e+19, 5.244684229638034e-02, 1.451540713895041e-01
3.767298178979602e-01, 9.463025179229549e+19, 5.376174597867224e-02, 1.391327227188858e-01
3.767298178979602e-01, 1.061768888461980e+20, 5.519997408768090e-02, 1.337775770409368e-01
3.767298178979602e-01, 1.191324287058017e+20, 5.674968284691746e-02, 1.290167787280679e-01
3.767298178979602e-01, 1.336687835137238e+20, 5.839795157755150e-02, 1.247852646237483e-01
3.767298178979602e-01, 1.499788418664912e+20, 6.013094252214589e-02, 1.210244290861934e-01
3.767298178979602e-01, 1.682790283290380e+20, 6.193411733105920e-02, 1.176817025855483e-01
3.767298178979602e-01, 1.888121752571853e+20, 6.379250295774348e-02, 1.147100842345268e-01
4.226978079673295e-01, 2.118507450354571e+18, 9.546705442734311e-02, 8.548456872439359e-01
4.226978079673295e-01, 2.377004454874053e+18, 9.228254043756465e-02, 8.267428529539695e-01
4.226978079673295e-01, 2.667042864326648e+18, 8.908681474670128e-02, 7.975631722142230e-01
4.226978079673295e-01, 2.992471312188848e+18, 8.590171315500213e-02, 7.674126042199316e-01
4.226978079673295e-01, 3.357608036245132e+18, 8.274889554676386e-02, 7.364175850340067e-01
4.226978079673295e-01, 3.767298178979589e+18, 7.964935673383537e-02, 7.047248080738664e-01
4.226978079673295e-01, 4.226978079673322e+18, 7.662299472398115e-02, 6.725002456518511e-01
4.226978079673295e-01, 4.742747411323311e+18, 7.368825800368284e-02, 6.399272866726707e-01
4.226978079673295e-01, 5.321450119597585e+18, 7.086188595202718e-02, 6.072039126002921e-01
4.226978079673295e-01, 5.970765237835940e+18, 6.815874814558180e-02, 5.745389030945772e-01
4.226978079673295e-01, 6.699308783156532e+18, 6.559178007831874e-02, 5.421471491813656e-01
4.226978079673295e-01, 7.516748085768933e+18, 6.317200561144445e-02, 5.102442462205675e-01
4.226978079673295e-01, 8.433930068571646e+18, 6.090863097063613e-02, 4.790406289472098e-01
4.226978079673295e-01, 9.463025179229549e+18, 5.880919171668423e-02, 4.487355829566559e-01
4.226978079673295e-01, 1.061768888461980e+19, 5.687973291590345e-02, 4.195115088841383e-01
4.226978079673295e-01, 1.191324287058017e+19, 5.512500353552357e-02, 3.915288185420088e-01
4.226978079673295e-01, 1.336687835137238e+19, 5.354864847597738e-02, 3.649218033411797e-01
4.226978079673295e-01, 1.499788418664912e+19, 5.215338507983948e-02, 3.397957378227275e-01
4.226978079673295e-01, 1.682790283290379e+19, 5.094115483261681e-02, 3.162253745763102e-01
4.226978079673295e-01, 1.888121752571853e+19, 4.991324474071226e-02, 2.942548653005120e-01
