Te,ne,728/706,728/668
2.000000000000000e-01, 9.460195260236984e+19, 4.413774521529068e-02, 2.420463216114382e-01
2.000000000000000e-01, 9.726353510045304e+19, 4.433687682936366e-02, 2.388498852292720e-01
2.000000000000000e-01, 1.000000000000000e+20, 4.454085495443894e-02, 2.357417701692897e-01
2.063443866905989e-01, 4.000000000000000e+17, 9.731954583072409e-02, 2.039394184599288e+00
2.063443866905989e-01, 4.112538163319718e+17, 9.715834699819589e-02, 2.037045974135621e+00
2.063443866905989e-01, 4.228242536190314e+17, 9.699322358845591e-02, 2.034641191900693e+00
2.063443866905989e-01, 4.347202198463604e+17, 9.682410290409434e-02, 2.032178482335331e+00
2.063443866905989e-01, 4.469508736212237e+17, 9.665091215163092e-02, 2.029656453890730e+00
2.063443866905989e-01, 4.595256312240964e+17, 9.647357852152033e-02, 2.027073678072517e+00
2.063443866905989e-01, 4.724541738581698e+17, 9.629202927234304e-02, 2.024428688498396e+00
2.063443866905989e-01, 4.857464551028530e+17, 9.610619181922550e-02, 2.021719979974550e+00
2.063443866905989e-01, 4.994127085769418e+17, 9.591599382653578e-02, 2.018946007596444e+00
2.063443866905989e-01, 5.134634558173853e+17, 9.572136330487552e-02, 2.016105185879928e+00
2.063443866905989e-01, 5.279095143797605e+17, 9.552222871239086e-02, 2.013195887928976e+00
2.063443866905989e-01, 5.427620061665860e+17, 9.531851906040623e-02, 2.010216444646775e+00
2.063443866905989e-01, 5.580323659900142e+17, 9.511016402337394e-02, 2.007165143997079e+00
2.063443866905989e-01, 5.737323503753870e+17, 9.489709405311898e-02, 2.004040230323304e+00
2.063443866905989e-01, 5.898740466124746e+17, 9.467924049734634e-02, 2.000839903733030e+00
2.063443866905989e-01, 6.064698820614090e+17, 9.445653572235796e-02, 1.997562319555879e+00
2.063443866905989e-01, 6.235326337203932e+17, 9.422891323991713e-02, 1.994205587883189e+00
2.063443866905989e-01, 6.410754380625930e+17, 9.399630783817553e-02, 1.990767773198003e+00
2.063443866905989e-01, 6.591118011498299e+17, 9.375865571656328e-02, 1.987246894104291e+00
2.063443866905989e-01, 6.776556090307735e+17, 9.351589462452728e-02, 1.983640923164554e+00
2.063443866905989e-01, 6.967211384316805e+17, 9.326796400397680e-02, 1.979947786855077e+00
2.063443866905989e-01, 7.163230677479615e+17, 9.301480513528050e-02, 1.976165365648382e+00
2.063443866905989e-01, 7.364764883449427e+17, 9.275636128664123e-02, 1.972291494232544e+00
2.063443866905989e-01, 7.571969161765665e+17, 9.249257786664811e-02, 1.968323961877181e+00
2.063443866905989e-01, 7.785003037310327e+17, 9.222340257978466e-02, 1.964260512955919e+00
2.063443866905989e-01, 8.004030523124723e+17, 9.194878558465740e-02, 1.960098847635294e+00
2.063443866905989e-01, 8.229220246681577e+17, 9.166867965467537e-02, 1.955836622739952e+00
2.063443866905989e-01, 8.460745579710390e+17, 9.138304034089788e-02, 1.951471452803982e+00
2.063443866905989e-01, 8.698784771674396e+17, 9.109182613673959e-02, 1.947000911318106e+00
2.063443866905989e-01, 8.943521087003837e+17, 9.079499864419995e-02, 1.942422532182305e+00
2.063443866905989e-01, 9.195142946189555e+17, 9.049252274126277e-02, 1.937733811373235e+00
2.063443866905989e-01, 9.453844070846162e+17, 9.018436675008559e-02, 1.932932208835460e+00
2.063443866905989e-01, 9.719823632857169e+17, 8.987050260557747e-02, 1.928015150605319e+00
2.063443866905989e-01, 9.993286407715583e+17, 8.955090602393999e-02, 1.922980031175652e+00
2.063443866905989e-01, 1.027444293217864e+18, 8.922555667072854e-02, 1.917824216109407e+00
2.063443866905989e-01, 1.056350966635879e+18, 8.889443832795775e-02, 1.912545044909232e+00
2.063443866905989e-01, 1.086070916037441e+18, 8.855753905977330e-02, 1.907139834150031e+00
2.063443866905989e-01, 1.116627022568895e+18, 8.821485137617166e-02, 1.901605880880336e+00
2.063443866905989e-01, 1.148042811127162e+18, 8.786637239424655e-02, 1.895940466297874e+00
2.063443866905989e-01, 1.180342468471335e+18, 8.751210399641546e-02, 1.890140859703787e+00
2.063443866905989e-01, 1.213550861843842e+18, 8.715205298506749e-02, 1.884204322739083e+00
2.063443866905989e-01, 1.247693558115583e+18, 8.678623123305594e-02, 1.878128113905898e+00
2.063443866905989e-01, 1.282796843469637e+18, 8.641465582945221e-02, 1.871909493375159e+00
2.063443866905989e-01, 1.318887743638737e+18, 8.603734921996291e-02, 1.865545728081076e+00
2.063443866905989e-01, 1.355994044712235e+18, 8.565433934140519e-02, 1.859034097101676e+00
